Datetime,Open,High,Low,Close,intvwap,Volume,v
09-05-2023 09:30,1649.55,1654,1647,1653.55,1649.57,505187,2115305
09-05-2023 09:45,1653.5,1653.5,1648.9,1649.5,1651.81,596367,2711672
09-05-2023 10:00,1649.45,1651.15,1648.5,1651,1649.66,475678,3187350
09-05-2023 10:15,1651.05,1651.9,1649.1,1649.4,1650.83,750176,3937526
09-05-2023 10:30,1649.35,1651.8,1647.9,1651.65,1649.2,608155,4545681
09-05-2023 10:45,1651.5,1652.5,1648.15,1651.7,1650.35,1001619,5547300
09-05-2023 11:00,1651.5,1653.5,1650.5,1651.85,1652,290666,5837966
09-05-2023 11:15,1651.2,1653.3,1650.1,1650.7,1651.31,467919,6305885
09-05-2023 11:30,1650.75,1653.6,1649.65,1652.25,1651.77,706432,7012317
09-05-2023 11:45,1652.45,1654.9,1652.25,1653.7,1653.53,519951,7532268
09-05-2023 12:00,1653.75,1655.95,1652.1,1652.5,1653.91,849878,8382146
09-05-2023 12:15,1652.45,1652.45,1649.65,1650.55,1651.3,679358,9061504
09-05-2023 12:30,1650.8,1655,1649.75,1653.6,1652.67,793336,9854840
09-05-2023 12:45,1653.55,1654.1,1650.15,1651.95,1652.7,312771,10167611
09-05-2023 13:00,1652,1654.2,1651.15,1652,1652.56,599627,10767238
09-05-2023 13:15,1652.05,1654,1650.3,1651.25,1652.17,843738,11610976
09-05-2023 13:30,1651.3,1653.2,1650.15,1652.7,1651.88,812843,12423819
09-05-2023 13:45,1652.65,1653.4,1646.5,1646.65,1650.75,1211545,13635364
09-05-2023 14:00,1646.6,1648.9,1644,1646.15,1646.57,898112,14533476
09-05-2023 14:15,1646.1,1650.7,1645,1649.2,1646.65,1124579,15658055
09-05-2023 14:30,1649.3,1650.8,1645.55,1647.5,1648.69,1291631,16949686
09-05-2023 14:45,1647,1648.9,1644.7,1646.7,1646.55,1241120,18190806
09-05-2023 15:00,1646.5,1648.6,1641.35,1644.4,1645.33,2774755,20965561
09-05-2023 15:15,1644.35,1644.4,1639.95,1643,1641.85,875094,21840655
10-05-2023 09:15,1646.35,1648.7,1641.1,1643,1644.6,1275351,1275351
10-05-2023 09:30,1642.7,1643.45,1636.9,1639.65,1640.52,799221,2074572
10-05-2023 09:45,1639.7,1642.9,1636.3,1637.1,1639.25,1394246,3468818
10-05-2023 10:00,1637.5,1639.4,1633.1,1634.95,1636.13,1329823,4798641
10-05-2023 10:15,1634.7,1639.85,1634,1638.95,1636.52,1240581,6039222
10-05-2023 10:30,1639,1645.4,1637.6,1641.5,1641.99,1311489,7350711
10-05-2023 10:45,1641.45,1643.05,1638.9,1640,1640.96,611025,7961736
10-05-2023 11:00,1639.4,1641.35,1637.1,1641,1638.74,524448,8486184
10-05-2023 11:15,1641.15,1642.35,1637.1,1639.45,1639.92,1676284,10162468
10-05-2023 11:30,1639.5,1643.6,1638.1,1642.2,1641.72,805999,10968467
10-05-2023 11:45,1642.3,1648.25,1642.25,1647.15,1646.42,782423,11750890
10-05-2023 12:00,1647.2,1648.4,1644,1645.35,1645.77,1021186,12772076
10-05-2023 12:15,1645.9,1647,1644.3,1644.35,1645.81,368691,13140767
10-05-2023 12:30,1644.45,1647.8,1643.35,1647.8,1645.26,708397,13849164
10-05-2023 12:45,1647.85,1650.45,1647,1649.6,1649.32,1042274,14891438
10-05-2023 13:00,1649.65,1651,1648.15,1650.95,1649.09,331889,15223327
10-05-2023 13:15,1651,1652.9,1645.35,1646.8,1649.51,845594,16068921
10-05-2023 13:30,1646.7,1648.3,1643.3,1646.95,1645.65,1302373,17371294
10-05-2023 13:45,1647,1651.8,1644.45,1650.7,1647.58,795722,18167016
10-05-2023 14:00,1650.75,1651.9,1648.25,1651.5,1650.03,462739,18629755
10-05-2023 14:15,1651.9,1653.4,1648.15,1649.45,1650.86,888913,19518668
10-05-2023 14:30,1649.55,1650.6,1646.3,1650,1648.73,1105036,20623704
10-05-2023 14:45,1650.05,1652,1648,1651.8,1650.09,793576,21417280
10-05-2023 15:00,1651.75,1654.65,1649.1,1651.95,1652.74,722403,22139683
10-05-2023 15:15,1651.9,1665.15,1649.1,1665.15,1651.79,1029522,69019
11-05-2023 09:15,1666,1667.6,1654.85,1658.65,1660.52,1978870,2047889
11-05-2023 09:30,1658.2,1659.55,1652.55,1654.65,1655.43,538484,2586373
11-05-2023 09:45,1654.6,1655.4,1651.2,1655.15,1653.25,246215,2832588
11-05-2023 10:00,1655,1657.95,1653.5,1656,1655.92,325200,3157788
11-05-2023 10:15,1656.5,1657.5,1653.2,1653.55,1655.12,711639,3869427
11-05-2023 10:30,1653.6,1658.05,1652.1,1657.65,1655.62,928199,4797626
11-05-2023 10:45,1656.8,1660,1656.2,1657.85,1658.47,409169,5206795
11-05-2023 11:00,1657.65,1659.7,1653.9,1655.1,1656.48,1132839,6339634
